rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,swstr_pct,csw_pct,o_swing_pct,strike_pct,f_strike_pct,zone_pct,pitches,strikes,stuff_ceiling_bump,stuff_ceiling_note,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,last3_ks_adj,last3_k9_adj,last3_opp_k_pct,form_opp_factor,form_opp_note,form_ks,form_weight,lineup_k_pct,lineup_k_pct_vs_lhp,lineup_k_pct_vs_rhp,lineup_k_pct_vs_hand,lineup_k_vs_hand_side,lineup_k_vs_hand_pa,lineup_k_vs_hand_n,lineup_k_vs_hand_source,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
11,Yoshinobu Yamamoto,808967,LAD,R,AZ,LAD@AZ,7:10 PM CT,2026-08-09T00:10:00Z,ok,official,6.683333333333333,25,2.7777777777777777,season_avg,starter,22.77750926707715,25.693677504510596,4.927974070547588,5.207319120996668,2.049975834036944,9,9,1.0,25,,25,1.9526183795646086,1.0099750239127285,8.147131859562677,3.434059637694837,23.772102,77.04239899999999,47.5783475,35.8974358,10.3174603,18.820224999999997,11.338099999999999,27.681307,35.573477,66.08784473953013,61.29666,42.944785,1958.0,1294.0,0.0,,balanced,,clear,,1.0,,5.0,5.869565217391305,7.666666666666667,4.905330968337188,5.758432006308874,22.93423231300034,0.9810661936674377,L3 opp K% 22.9,4.27616895283307,0.3,19.841269841269842,17.385786802030456,19.578454332552692,19.578454332552692,R,2135.0,9,season_vs_rhp,0.2696756762905591,7.407407407407407,69.84126984126983,neutral,recent,0.946583422847735,neutral,1.0080333333333333,1.0,neutral,1057,899,"672695,682998,672515,606466,663457,571448,694374,543510,814439",Geraldo Perdomo; Corbin Carroll; Gabriel Moreno; Ketel Marte; Lars Nootbaar; Nolan Arenado; Tim Tawa; James McCann; Ryan Waldschmidt,,25.640192339578842,96.03152804642167,FF,avg,False,,savant+statcast,False,,8,0.7586206896551724,strong,strong,0.27750926707714996,3.199054934524458,,"arsenal K% 22.8 (strong solo, +0.3 vs lg, +3.2 vs opp K%, opp K% vs RHP 19.6; slate #8/29 strong); stuff whiff 25.6% (avg), FF 96.0 mph",0,,8.0,55.0,194.0,12.0,4.0,37.0,.206,.558,28.350515463917525,5,39,7.8,3,16,5.333333333333333,2026-07-11 H: 6.0IP 6K; 2026-03-26 H: 6.0IP 6K; 2025-09-25 A: 6.0IP 7K; 2025-08-31 H: 7.0IP 10K; 2025-05-20 H: 7.0IP 9K; 2025-05-08 A: 5.0IP 4K; 2024-05-20 H: 6.1IP 8K; 2024-05-01 A: 6.0IP 5K
12,Peter Lambert,663567,HOU,R,SD,HOU@SD,6:15 PM CT,2026-08-08T23:15:00Z,ok,official,5.626021690590112,24,2.6666666666666665,season_avg,starter,19.974712075550894,24.961245521025198,4.9201744460044585,4.64128912029223,1.7977240867995803,9,9,1.0,24,,24,3.395705600942263,0.9110429661064608,8.944785485408888,4.348221378040434,24.053452,77.356322,37.3702422,46.7128027,11.1111111,14.726027,10.987172000000001,25.655326000000002,33.523267000000004,63.30172894590073,62.36080200000001,41.238839,1793.0,1135.0,0.0,,fly_popup,"FB% 46.7, IFFB% 11.1",low,elev_xfip,1.0,,5.666666666666667,9.18,5.555555555555556,5.501131052816427,8.91183230556261,23.177051914573738,0.9707878328499576,L3 opp K% 23.2,5.570906872666326,0.3,18.46590909090909,20.248447204968944,20.5327868852459,20.5327868852459,R,2440.0,9,season_vs_rhp,0.26982104099460913,9.659090909090908,68.4659090909091,neutral,recent,0.9689458202282478,patient,0.9666522727272727,0.9836909090909091,elevated,988,803,"665487,630105,592518,664034,701538,669134,657757,593428,650859",Fernando Tatis Jr.; Jake Cronenworth; Manny Machado; Ty France; Jackson Merrill; Luis Campusano; Gavin Sheets; Xander Bogaerts; Luis Rengifo,,25.743286631640405,93.91847826086956,FF,avg,False,,savant+statcast,False,,20,0.3448275862068966,soft,soft,-2.525287924449106,-0.5580748096950074,,"arsenal K% 20.0 (soft solo, -2.5 vs lg, -0.6 vs opp K%, opp K% vs RHP 20.5; slate #20/29 soft); stuff whiff 25.7% (avg), FF 93.9 mph; pitcher style FLY/popup (FB% 46.7, IFFB% 11.1); weak under — only 1/2 confirms (GB/FLY style); need 1 more of GB/FLY · contact-heavy · Exp K ≤4.2 · Soft%≥20 (or take U6.5+ / pass)",1,,9.0,14.0,122.0,10.0,4.0,34.0,.312,.893,11.475409836065573,4,6,1.5,2,1,0.5,2024-08-17 H: 2.0IP 0K; 2024-08-03 A: 1.0IP 0K; 2024-05-15 A: 1.0IP 1K; 2024-04-25 H: 2.2IP 0K; 2023-08-01 H: 4.1IP 2K; 2023-06-09 H: 3.0IP 4K
13,Gage Jump,695611,ATH,L,BOS,ATH@BOS,3:10 PM CT,2026-08-08T20:10:00Z,ok,official,4.533086803105152,19,2.111111111111111,season_avg,starter,24.20043283870943,27.580532965962536,4.903381743638715,4.567784487935761,2.1780389554838484,9,9,1.0,19,,19,4.185000159645087,0.9450000360488905,9.85500037593843,3.984255934075498,25.347222000000002,76.67269399999999,41.111111099999995,37.7777777,4.4117647,11.60221,11.139896,27.547496,34.398782,64.24870466321244,60.763889000000006,43.264249,1158.0,744.0,0.0,,whiff,K% 25.3,medium,high_bb,0.9,,5.666666666666667,10.674418604651162,4.777777777777778,5.993389810403895,11.28987382890036,21.273436908554388,1.0576570253653932,L3 opp K% 21.3,5.686442006945606,0.3,21.10091743119266,21.464019851116625,22.467222884386175,21.464019851116625,L,806.0,8,season_vs_lhp,0.29717246176061674,9.785932721712538,64.83180428134557,neutral,recent,1.0045928544644602,patient,0.9649399082568808,0.9821688073394496,elevated,306,852,"663330,678882,702332,575929,655316,642201,686765,680776,657136",Jahmai Jones; Ceddanne Rafaela; Caleb Durbin; Willson Contreras; Andruw Monasterio; Eli White; Nick Sogard; Jarren Duran; Connor Wong,,25.378283200267113,96.23436363636364,FF,avg,True,L3 K9 10.7,savant+statcast,False,,5,0.8620689655172413,elite,elite,1.7004328387094283,2.7364129875928036,,"arsenal K% 24.2 (elite solo, +1.7 vs lg, +2.7 vs opp K%, opp K% vs LHP 21.5; slate #5/29 elite); stuff whiff 25.4% (avg), FF 96.2 mph; pitcher style WHIFF (K% 25.3); stuff ceiling (L3 K9 10.7); K-first arm — confirms overs / SPIKE caution on soft unders",0,,1.0,7.0,22.0,4.0,0.0,3.0,.167,.540,31.818181818181817,1,7,7.0,0,0,,2026-07-28 H: 6.0IP 7K
14,Walbert Ureña,700712,LAA,R,MIA,LAA@MIA,3:10 PM CT,2026-08-08T20:10:00Z,ok,official,4.866666666666667,21,2.3333333333333335,season_start_est,starter,23.65374283584887,26.842725511551777,4.866482716095775,4.84512200161389,2.1288368552263983,9,9,1.0,21,,21,4.7114095467500094,0.543624178471155,8.607382825793286,4.247082775890005,22.458629,73.421053,54.1353383,30.827067600000003,8.5365853,16.41791,11.931483,28.292971,31.717171999999998,61.6066154754873,54.609929,41.45476,1693.0,1043.0,0.0,,balanced,,medium,"high_bb,elev_xfip",0.9,,5.666666666666667,8.5,6.0,6.061221842326244,9.091832763489364,21.035362723345997,1.0696273839399253,L3 opp K% 21.0,4.916324383220175,0.3,20.845921450151057,22.072678331090174,21.29032258064516,21.29032258064516,R,2325.0,9,season_vs_rhp,0.22006180784047588,8.459214501510575,68.8821752265861,neutral,recent,0.9855933580973804,neutral,0.9985670694864048,1.0,neutral,915,776,"805300,669364,669065,672640,665052,681715,683357,691788,691594",Jakob Marsee; Xavier Edwards; Kyle Stowers; Otto Lopez; Griffin Conine; Heriberto Hernández; Owen Caissie; Joe Mack; Javier Sanoja,,28.157523021035736,97.66473988439306,SI,strong,True,stuff whiff 28.2%,savant+statcast,False,,6,0.8275862068965517,elite,strong,1.1537428358488704,2.3634202552037102,,"arsenal K% 23.7 (strong solo, +1.2 vs lg, +2.4 vs opp K%, opp K% vs RHP 21.3; slate #6/29 elite); stuff whiff 28.2% (strong), SI 97.7 mph; stuff ceiling (stuff whiff 28.2%)",0,,,,,,,,,,,0,0,,0,0,,
15,Sandy Alcantara,645261,MIA,R,LAA,LAA@MIA,3:10 PM CT,2026-08-08T20:10:00Z,ok,official,6.527777777777778,27,3.0,season_avg,starter,18.396151261078018,20.99661045776315,4.839128607155458,5.0854207411578605,1.6556536134970217,9,9,1.0,27,,27,2.3553193018694487,0.9765958080922104,6.893617468886191,4.140472560242266,18.489985,80.63439100000001,44.210526300000005,36.0,13.4502923,16.008316,9.834676,25.476896999999997,34.029389,66.8927511657482,64.40678,45.188639,2359.0,1578.0,0.0,,balanced,,clear,,1.0,,4.333333333333333,5.85,6.666666666666667,4.355179875216869,5.879492831542774,22.387135042302912,1.0050415096654315,L3 opp K% 22.4,4.264446961149852,0.3,22.22222222222222,22.956521739130434,22.78215223097113,22.78215223097113,R,1905.0,9,season_vs_rhp,0.20880990779785902,7.098765432098766,67.90123456790124,neutral,recent,1.012899010364621,neutral,1.010811111111111,1.0,neutral,1455,904,"685133,545361,694384,687263,687093,694208,694203,666139,623168",Wade Meckler; Mike Trout; Nolan Schanuel; Zach Neto; Vaughn Grissom; Moisés Ballesteros; Denzer Guzman; Josh Lowe; Tyler Heineman,,21.961523181266866,97.32200328407225,SI,soft,False,,savant+statcast,True,"K9 6.9, soft L3 4.3",24,0.20689655172413793,soft,soft,-4.103848738921982,-4.386000969893111,FILLER,"soft-contact (K9 6.9, soft L3 4.3) + arsenal K% 18.4 (soft solo, -4.1 vs lg, -4.4 vs opp K%, opp K% vs RHP 22.8; slate #24/29 soft); stuff whiff 22.0% (soft), SI 97.3 mph — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds; weak under — only 0/2 confirms (none); need 2 more of GB/FLY · contact-heavy · Exp K ≤4.2 · Soft%≥20 (or take U6.5+ / pass)",0,,2.0,16.0,51.0,2.0,1.0,7.0,.152,.461,31.372549019607842,0,0,,1,6,6.0,2025-05-23 A: 5.1IP 6K
16,Brandon Pfaadt,694297,AZ,R,LAD,LAD@AZ,7:10 PM CT,2026-08-09T00:10:00Z,ok,prior:2026-08-07,6.866666666666667,29,3.2222222222222223,season_start_est,starter,20.638966328115252,22.526311287477956,4.821706524220592,5.675300501683734,1.8575069695303728,9,9,1.0,29,,29,2.516949294936011,0.9152542890676403,5.949152878939662,4.561019809566399,15.615616,81.740614,48.2352941,36.470588199999995,11.8279569,14.901961,8.864954,25.517813,34.164223,65.28583264291632,67.267267,43.496272000000005,1207.0,788.0,0.0,,contact_gb,GB% 48.2,low,elev_xfip,1.0,,2.6666666666666665,3.661016949152542,6.555555555555556,2.7017677567139557,3.7092065812513626,22.207682303891076,1.0131629087677334,L3 opp K% 22.2,2.829987243473262,0.3,19.005847953216374,19.412381951731376,20.901287553648068,20.901287553648068,R,2330.0,9,season_vs_rhp,0.2885240079658581,7.017543859649122,73.6842105263158,contact_heavy,recent,0.9299999999999999,neutral,1.011542105263158,1.0,neutral,656,551,"660271,681624,518692,571970,605141,663656,606192,669242,676439",Shohei Ohtani; Andy Pages; Freddie Freeman; Max Muncy; Mookie Betts; Kyle Tucker; Teoscar Hernández; Tommy Edman; Hunter Feduccia,,20.49973102109839,93.2,FF,soft,False,,savant+statcast,True,"K9 5.9, soft L3 2.7, elev_xFIP 4.56",18,0.41379310344827586,avg,avg,-1.8610336718847478,-0.26232122553281556,UNDER_OK,"soft-contact (K9 5.9, soft L3 2.7, elev_xFIP 4.56) + arsenal K% 20.6 (avg solo, -1.9 vs lg, -0.3 vs opp K%, opp K% vs RHP 20.9; slate #18/29 avg); stuff whiff 20.5% (soft), FF 93.2 mph; pitcher style GB/contact (GB% 48.2) — FILLER on K overs (pass/O3.5); under lane preferred when confirms hold; pitcher outs also live if clear/low risk and projected IP holds; GB/contact out-getter — soft matchup strengthens under; elite mix alone is not a nuke over without length",2,,10.0,44.0,220.0,16.0,6.0,54.0,.267,.749,20.0,5,26,5.2,5,18,3.6,2026-07-11 A: 5.1IP 2K; 2026-06-03 H: 1.0IP 1K; 2025-09-23 H: 6.0IP 4K; 2025-08-31 A: 4.1IP 5K; 2025-05-19 A: 6.0IP 0K; 2025-05-08 H: 6.1IP 6K; 2024-09-01 H: 5.2IP 10K; 2024-05-21 A: 6.0IP 7K
17,Landen Roupp,694738,SF,R,DET,DET@SF,6:15 PM CT,2026-08-08T23:15:00Z,ok,official,5.075576477569427,22,2.4444444444444446,season_avg,starter,21.965905524329497,23.49166121715855,4.723592206830671,4.519451478939654,1.9769314971896546,9,9,1.0,22,,22,3.954929747457574,0.6845070716753493,9.126760955671324,3.7304841420626937,24.048096,76.98324,50.955414,30.891719699999996,8.2474226,15.170279,9.772295999999999,27.039848,30.630631,60.24667931688805,58.316632999999996,36.782155,2108.0,1270.0,0.0,,balanced,,low,elev_bb,0.95,,4.666666666666667,8.790697674418604,4.777777777777778,4.894826245742425,9.22048664895666,21.451221091112313,1.0488913383733767,L3 opp K% 21.5,5.1999205719097095,0.3,19.843342036553526,23.448275862068964,20.627595754499307,20.627595754499307,R,2167.0,8,season_vs_rhp,0.3140127863653361,9.138381201044387,68.40731070496084,neutral,recent,0.9594207624862612,neutral,0.9924545691906005,0.9932929503916449,mild,1243,864,"805808,650402,693307,682985,690993,679529,703601,595879,656716",Kevin McGonigle; Gleyber Torres; Dillon Dingler; Riley Greene; Colt Keith; Spencer Torkelson; Max Clark; Javier Báez; Zach McKinstry,,23.333816183816186,93.34566395663957,SI,avg,False,,savant,False,,14,0.5517241379310345,avg,avg,-0.5340944756705035,1.3383097698301896,,"arsenal K% 22.0 (avg solo, -0.5 vs lg, +1.3 vs opp K%, opp K% vs RHP 20.6; slate #14/29 avg); stuff whiff 23.3% (avg), SI 93.3 mph",0,,2.0,9.0,27.0,2.0,0.0,5.0,.208,.546,33.333333333333336,1,2,2.0,1,7,7.0,2025-05-28 A: 4.0IP 7K; 2024-08-09 H: 2.0IP 2K
18,Griffin Jax,643377,TB,R,SEA,TB@SEA,8:50 PM CT,2026-08-09T01:50:00Z,ok,prior:2026-08-07,4.397426078132928,19,2.111111111111111,season_start_est,starter,21.793844792416593,23.926822122818642,4.609764525157298,3.935912997684343,1.9614460313174933,9,9,1.0,19,,19,2.945454719102097,1.3745455355809788,9.818182397006991,3.3350906930680213,26.385224,71.196455,45.2282157,34.439834000000005,3.6144578,12.550607,13.869132,29.871977,36.385256,64.65149359886202,66.490765,40.184922,1406.0,909.0,0.0,,whiff,"K% 26.4, Contact% 71.2",low,elev_hr,1.0,,7.666666666666667,12.42,5.555555555555556,7.810231417304632,12.652574896033503,22.086413421477214,1.0187258370397345,L3 opp K% 22.1,6.182084755927527,0.3,20.82191780821918,21.734475374732334,20.47753945770943,20.47753945770943,R,2471.0,9,season_vs_rhp,0.22769474072540358,9.863013698630137,67.94520547945206,neutral,recent,0.9835836298095296,patient,0.9638993150684931,0.9812438356164384,elevated,880,522,"621493,702284,668227,686527,677594,647304,680977,663728,806068",Taylor Ward; Cole Young; Randy Arozarena; Dominic Canzone; Julio Rodríguez; Josh Naylor; Brendan Donovan; Cal Raleigh; Colt Emerson,,32.0832100591716,95.45257731958762,SI,elite,True,"L3 K9 12.4, stuff whiff 32.1%",savant+statcast,False,,15,0.5172413793103449,avg,avg,-0.7061552075834072,1.3163053347071632,,"arsenal K% 21.8 (avg solo, -0.7 vs lg, +1.3 vs opp K%, opp K% vs RHP 20.5; slate #15/29 avg); stuff whiff 32.1% (elite), SI 95.5 mph; pitcher style WHIFF (K% 26.4, Contact% 71.2); stuff ceiling (L3 K9 12.4, stuff whiff 32.1%)",0,,16.0,26.0,102.0,13.0,5.0,24.0,.282,.860,25.49019607843137,7,9,1.2857142857142858,6,8,1.3333333333333333,2026-07-11 H: 5.0IP 3K; 2025-09-02 H: 0.0IP 0K; 2025-08-08 A: 1.0IP 1K; 2025-06-25 H: 1.0IP 1K; 2025-06-24 H: 1.0IP 2K; 2025-06-01 A: 0.1IP 1K; 2025-05-31 A: 1.0IP 1K; 2024-06-29 A: 1.0IP 3K
19,Bubba Chandler,696149,PIT,R,NYM,NYM@PIT,5:40 PM CT,2026-08-08T22:40:00Z,ok,official,4.508935352917505,20,2.2222222222222223,season_start_est,starter,22.59854785007031,26.23742203490004,4.4729467880721785,4.759477087335444,2.033869306506328,9,9,1.0,20,,20,4.975830830046291,0.8157099721387361,7.993957726959613,4.93125854719283,20.123203,78.85462600000001,38.8012618,41.640378500000004,13.636363600000001,15.527949999999999,10.07874,24.776903,32.425308,62.51968503937008,60.780287,40.168243999999994,1905.0,1191.0,0.0,,fly_popup,"FB% 41.6, IFFB% 13.6",high,"high_bb,high_xfip,exit_xfip_bb",0.873,exit_xfip_bb,4.333333333333333,7.3125,5.333333333333333,4.499954917093947,7.593673922596037,21.6668837346853,1.038451134713988,L3 opp K% 21.7,3.8043760897912238,0.3,28.450704225352112,23.444976076555022,22.68822637695806,22.68822637695806,R,1979.0,9,season_vs_rhp,0.2041719722079319,9.295774647887324,60.28169014084507,whiff_prone,recent,1.07,neutral,0.9910380281690141,0.9920338028169015,mild,1036,866,"805999,596019,666182,676724,673357,683146,543760,593871,682626",A.J. Ewing; Francisco Lindor; Bo Bichette; Jared Young; Luis Robert Jr.; Brett Baty; Marcus Semien; Jorge Polanco; Francisco Alvarez,,23.813352501296702,98.54646799116999,FF,avg,False,,savant+statcast,False,,10,0.6896551724137931,strong,strong,0.09854785007031097,-0.08967852688774869,,"arsenal K% 22.6 (strong solo, +0.1 vs lg, -0.1 vs opp K%, opp K% vs RHP 22.7; slate #10/29 strong); stuff whiff 23.8% (avg), FF 98.5 mph; pitcher style FLY/popup (FB% 41.6, IFFB% 13.6)",1,,,,,,,,,,,0,0,,0,0,,
20,Seth Lugo,607625,KC,R,CHC,CHC@KC,6:10 PM CT,2026-08-08T23:10:00Z,ok,prior:2026-08-07,5.505900557413601,24,2.6666666666666665,season_avg,starter,21.55951211979733,23.14337275543493,4.398246315250984,4.922877328454174,1.9403560907817594,9,9,1.0,24,,24,3.147668642640476,1.0492228808801587,6.924871013809047,4.599722692950571,18.065693,83.19148899999999,40.1534526,40.1534526,7.643312100000001,11.557789,7.643928,25.495888,27.031802,63.763909046927914,65.693431,45.208132,2067.0,1318.0,0.0,,balanced,,low,elev_xfip,1.0,,3.3333333333333335,5.0,6.0,3.4589516298143006,5.188427444721451,21.682870426270316,1.0376854889442901,L3 opp K% 21.7,3.17410728444354,0.3,20.32967032967033,21.779425393883226,21.083242457288257,21.083242457288257,R,2751.0,9,season_vs_rhp,0.25460275235570945,9.615384615384615,69.78021978021978,neutral,recent,0.9667013796906213,patient,0.9672423076923077,0.9842153846153846,elevated,1396,670,"691718,673548,608324,683737,663538,664023,608348,699393,621020",Pete Crow-Armstrong; Seiya Suzuki; Alex Bregman; Michael Busch; Nico Hoerner; Ian Happ; Carson Kelly; Pedro Ramírez; Dansby Swanson,,18.46751004201487,91.37705314009662,SI,soft,False,,savant+statcast,True,"K9 6.9, soft L3 3.3, elev_xFIP 4.60",16,0.4827586206896552,avg,avg,-0.9404878802026708,0.4762696625090719,FILLER,"soft-contact (K9 6.9, soft L3 3.3, elev_xFIP 4.60) + arsenal K% 21.6 (avg solo, -0.9 vs lg, +0.5 vs opp K%, opp K% vs RHP 21.1; slate #16/29 avg); stuff whiff 18.5% (soft), SI 91.4 mph — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds",0,,15.0,31.0,160.0,8.0,6.0,39.0,.264,.745,19.375,1,2,2.0,2,9,4.5,2025-07-23 A: 6.0IP 6K; 2024-07-27 H: 6.1IP 2K; 2023-04-27 A: 5.0IP 3K
21,Michael King,650633,SD,R,HOU,HOU@SD,6:15 PM CT,2026-08-08T23:15:00Z,ok,prior:2026-08-07,5.2620069720101785,21,2.3333333333333335,season_avg,starter,19.915967927880697,22.88208426848265,4.3796605917155205,3.7176628332447788,1.7924371135092627,9,9,1.0,21,,21,3.728900401274948,0.9667519558860976,7.872123069358223,4.439297899553889,21.189591,77.230769,43.3427762,39.9433427,11.3475177,15.0,10.402999,27.225866999999997,31.778655999999998,62.74601686972821,62.267658000000004,40.721649,2134.0,1339.0,0.0,,balanced,,medium,"elev_bb,elev_xfip",0.95,,6.0,9.529411764705882,5.666666666666667,6.379915180286492,10.132806462807958,21.160155924508356,1.0633191967144153,L3 opp K% 21.2,5.924322028147253,0.3,19.338422391857506,19.404761904761905,19.405383688228206,19.405383688228206,R,2489.0,9,season_vs_rhp,0.2811635415097968,10.178117048346056,68.70229007633588,neutral,recent,0.952145032661924,patient,0.9596454198473282,0.9774625954198474,elevated,1300,834,"665161,670541,670623,514888,572233,662139,673237,701358,676694",Jeremy Peña; Yordan Alvarez; Isaac Paredes; Jose Altuve; Christian Walker; Daulton Varsho; Yainer Diaz; Cam Smith; Jake Meyers,,24.964422604422605,92.93293918918918,SI,avg,False,,savant,False,,22,0.27586206896551724,soft,soft,-2.584032072119303,0.5105842396524913,,"arsenal K% 19.9 (soft solo, -2.6 vs lg, +0.5 vs opp K%, opp K% vs RHP 19.4; slate #22/29 soft); stuff whiff 25.0% (avg), SI 92.9 mph; weak under — only 0/2 confirms (none); need 2 more of GB/FLY · contact-heavy · Exp K ≤4.2 · Soft%≥20 (or take U6.5+ / pass)",0,,8.0,26.0,94.0,6.0,2.0,20.0,.230,.622,27.659574468085108,3,11,3.6666666666666665,2,11,5.5,2025-04-19 A: 5.2IP 7K; 2024-09-17 H: 7.0IP 7K; 2023-09-03 A: 5.0IP 4K; 2023-08-05 H: 1.0IP 2K; 2023-08-03 H: 1.2IP 2K
22,Robert Stock,476594,NYM,R,PIT,NYM@PIT,5:40 PM CT,2026-08-08T22:40:00Z,ok,official,5.238,21,2.3333333333333335,season_shrunk,starter,20.04278116830999,22.4707670238012,4.377269211537101,4.377269211537101,1.8038503051478991,9,9,1.0,21,,21,0.0,1.8,7.2,3.013766734302044,22.222222,69.444444,28.5714285,35.7142857,20.0,14.285713999999999,15.492958000000002,28.169013999999997,33.333332999999996,64.78873239436619,55.555555999999996,48.571429,71.0,46.0,0.0,,balanced,,medium,"high_hr,exit_hr",0.97,exit_hr,4.0,7.2,5.0,4.1847619047619045,7.532571428571428,21.506599908966773,1.0461904761904761,L3 opp K% 21.5,,,26.299694189602448,24.42528735632184,21.787414066631413,21.787414066631413,R,1891.0,8,season_vs_rhp,0.2305173406904897,8.256880733944953,63.30275229357798,whiff_prone,recent,1.0384137418848056,neutral,1.0003880733944954,1.0,neutral,49,21,"663968,664040,668804,687462,693304,682848,699013,694378,682927",Jake Mangum; Brandon Lowe; Bryan Reynolds; Spencer Horwitz; Nick Gonzales; Endy Rodríguez; Esmerlyn Valdez; Jacob Gonzalez; Ronny Simon,statcast_fallback,31.30952380952381,92.12608695652175,FC,elite,True,stuff whiff 31.3%,statcast,True,"K9 7.2, soft L3 4.0",19,0.3793103448275862,soft,avg,-2.4572188316900103,-1.7446328983214237,SPIKE,"soft-contact (K9 7.2, soft L3 4.0) + arsenal K% 20.0 (avg solo, -2.5 vs lg, -1.7 vs opp K%, opp K% vs RHP 21.8; slate #19/29 soft); stuff whiff 31.3% (elite), FC 92.1 mph; SPIKE (stuff whiff 31.3%) — no soft U6; prefer U6.5+ or pass",0,,2.0,2.0,7.0,0.0,0.0,1.0,.167,.453,28.571428571428573,0,0,,0,0,,
23,Kyle Bradish,680694,BAL,R,TEX,BAL@TEX,6:15 PM CT,2026-08-08T23:15:00Z,ok,official,4.866015,20,2.2222222222222223,season_avg,starter,21.12135878552411,26.306615648874534,4.244044444242906,4.387247218904908,1.90092229069717,9,9,1.0,20,,20,4.016528925619835,0.9669421487603306,8.702479338842975,4.00531804497577,22.807018,76.45739900000001,47.041420099999996,34.3195266,8.6206896,17.941176,10.442566000000001,27.150671,32.215863,61.41223272003978,55.555555999999996,39.184485,2011.0,1235.0,0.0,,balanced,,medium,high_bb,0.9,,3.6666666666666665,7.24390243902439,4.555555555555556,3.6604465439179874,7.231613903837975,22.53823379474775,0.9983036028867239,L3 opp K% 22.5,3.9099046366982386,0.3,26.54320987654321,26.17124394184168,22.60748959778086,22.60748959778086,R,2163.0,9,season_vs_rhp,0.21591832321630391,10.185185185185185,61.111111111111114,whiff_prone,recent,1.07,three_true,0.9896314814814815,0.9830333333333333,elevated,1182,829,"592626,694671,608369,607043,677649,694497,669394,642851,670032",Joc Pederson; Wyatt Langford; Corey Seager; Brandon Nimmo; Ezequiel Duran; Evan Carter; Jake Burger; Austin Wynns; Nicky Lopez,,23.938538040775732,94.66175182481751,SI,avg,False,,savant,False,,17,0.4482758620689655,avg,avg,-1.3786412144758913,-1.48613081225675,,"arsenal K% 21.1 (avg solo, -1.4 vs lg, -1.5 vs opp K%, opp K% vs RHP 22.6; slate #17/29 avg); stuff whiff 23.9% (avg), SI 94.7 mph",0,,3.0,11.0,53.0,5.0,0.0,8.0,.174,.465,20.754716981132077,1,4,4.0,1,2,2.0,2023-05-28 H: 6.2IP 4K; 2023-04-03 A: 1.2IP 2K
